"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGR087C",459.296591464732,4.95899427142955,0.269420442272457,18.406154446197,1.17258949100194e-75,7.14341517918382e-72
"YCR105W",562.086652133149,-7.3331723989584,0.405077632451146,-18.1031284166074,3.0107162786272e-73,9.17064178469846e-70
"YGR088W",663.999110750325,4.84642460764407,0.275653540419011,17.5815793995506,3.40945319710784e-69,6.92346295892699e-66
"YHR094C",486.660157442794,4.33849882915551,0.255941602773554,16.9511278437762,1.88797008554638e-64,2.87537844028713e-61
"YKR097W",251.474162302895,-5.27235756756474,0.33578804863762,-15.7014449708859,1.47835953354038e-55,1.80123325566559e-52
"YPL095C",375.284529803155,3.70882651481333,0.256487014690383,14.4600946729815,2.16499840484511e-47,2.19819504705273e-44
"YLR377C",299.947130598155,-4.63618103072503,0.324497755728666,-14.2872514489797,2.62777626364206e-46,2.28691614258677e-43
"YPR036W-A",899.911909544684,-3.984471215109,0.302716893488751,-13.1623682087537,1.44485058783462e-39,1.10025372263607e-36
"YOR273C",398.891330981264,3.13446637406861,0.242070902755413,12.9485466381545,2.39444327195136e-38,1.62077204585863e-35
"YNR034W-A",1713.91557110646,-4.86399319863551,0.380500287747597,-12.7831524843997,2.03644690702831e-37,1.24060345576164e-34
"YBR072W",1167.03117661588,-3.91011637930274,0.314338729599323,-12.4391810843253,1.60137257279782e-35,8.86869246680393e-33
"YNL036W",276.641514007305,-3.4868842495044,0.282061966202704,-12.3621213325818,4.18952808674567e-35,2.12688375870455e-32
"YDL243C",194.175906349666,-4.07713461039026,0.332212342504177,-12.2726765046034,1.26985105316393e-34,5.95071739682665e-32
"YGR201C",144.755922945044,3.84197307375243,0.317082339098453,12.116641641651,8.62202957204934e-34,3.75181458235176e-31
"YNL141W",180.792391690667,3.42708121500115,0.28610649485368,11.9783412003765,4.6146476596392e-33,1.87416223616813e-30
"YJL052W",7722.36018212695,2.77749562863493,0.244794560027393,11.34623101234,7.74288466067831e-30,2.94810333455327e-27
"YIL155C",267.036830564901,-3.64335366664778,0.325972329089715,-11.1768801874132,5.29177041876638e-29,1.89632149359558e-26
"YIR019C",1355.93708740785,-3.1896975276629,0.288443363986222,-11.05831482334,1.9981635646895e-28,6.7626735756047e-26
"YGL117W",145.254449369803,-4.39836900987159,0.398148213518673,-11.047064536597,2.26500355026449e-28,7.262316646427e-26
"YNR071C",109.442008886951,-5.76874857394856,0.526347975872383,-10.9599520438685,5.95309060405662e-28,1.81331139799565e-25
"YMR319C",136.521461263353,3.25425471437299,0.30564004347107,10.6473441026094,1.7941079361139e-26,5.20462168895518e-24
"YDR345C",1258.14656302389,2.37872325024074,0.224745731595715,10.5840641926839,3.53293275461486e-26,9.78301197323351e-24
"YOL128C",188.519594812265,3.03558796642416,0.287296769936856,10.5660358349707,4.28214782486008e-26,1.13421063256729e-23
"YDR406W",438.698074310927,2.69811888756638,0.257774014908689,10.4669933023394,1.22471313975271e-25,3.10873018640563e-23
"YCL025C",604.514493571934,-3.42402134331924,0.332674745830885,-10.2923993667371,7.62521924932718e-25,1.85811342667605e-22
"YJL212C",247.429414631565,2.93908941192812,0.286128759389167,10.2719119119747,9.43166622489221e-25,2.2099119477709e-22
"YBL049W",273.594986590469,2.65482178554773,0.260919500448639,10.1748691875574,2.56744728019067e-24,5.79292178923021e-22
"YKL071W",350.931469100209,-3.14016264572934,0.311953008849506,-10.0661399526498,7.79786657698374e-24,1.69659297096375e-21
"YDR536W",164.155609191229,-3.05093205667994,0.303427318783856,-10.054902336771,8.74080595106419e-24,1.836172063927e-21
"YDL210W",102.689954328514,3.33049934267452,0.331503946887645,10.0466355648046,9.50574909725914e-24,1.93030078335009e-21
"YJL034W",962.93332527091,-2.30151566923146,0.22921171199883,-10.0410037914782,1.00644701712389e-23,1.9778307188125e-21
"YMR145C",189.029341109685,-2.61765046701048,0.262777245586315,-9.9614807255092,2.24690912831481e-23,4.27755325302932e-21
"YDL039C",65.4731338295307,-4.18419348871771,0.421738852968269,-9.92129005726803,3.36379999478814e-23,6.20977865704526e-21
"YIL045W",160.08688797751,3.13559464691049,0.321652274516677,9.74839879998396,1.87400650952405e-22,3.35777872235897e-20
"YGR142W",523.634359858581,-4.11047638208172,0.422678968016115,-9.72481881787173,2.36325739022474e-22,4.11341829178546e-20
"YPR002W",65.2738814656835,-4.16905530988468,0.433330332881596,-9.6209634856645,6.52173831587546e-22,1.10362305056426e-19
"YJL116C",973.980566654744,2.88193270708782,0.305903057456208,9.42106538931989,4.46533885421675e-21,7.35212008105093e-19
"YAL060W",195.451588593383,2.59909176520411,0.277965647381547,9.35040638901861,8.73115996772192e-21,1.39974280324637e-18
"YKR034W",291.313325568017,2.30689512152407,0.248493119403366,9.28353721448283,1.6394354543961e-20,2.56088225337975e-18
"YGL055W",2148.16692179888,2.05246969744403,0.221452438867752,9.26821898163753,1.89279975541825e-20,2.882734027502e-18
"YPL262W",322.168063278588,-2.45313676061724,0.266040257224321,-9.22092312724231,2.94553298438259e-20,4.37663096118505e-18
"YMR305C",206.612135268939,-3.79748159600856,0.419538738211524,-9.05156365821439,1.40935465746551e-19,2.04423537459046e-17
"YKR033C",114.171419702006,2.61894475959988,0.29424627564439,8.90051965437617,5.55858213223363e-19,7.87508891850402e-17
"YLR327C",212.951680083224,-4.10938974308189,0.465218343568444,-8.83324959106498,1.01677799976618e-18,1.40777535785809e-16
"SCR1",2650.12291956777,-3.03993898256995,0.346988276840873,-8.76092705565397,1.93651091592573e-18,2.62160544440435e-16
"YKL165C",101.370962383601,-2.91882240884418,0.333368444980643,-8.75554496171244,2.03119635302796e-18,2.69001047448833e-16
"YML128C",308.004835551923,2.04116800616995,0.233695642435444,8.73430066944359,2.45168181417726e-18,3.17779693871656e-16
"YKR009C",87.3651991664317,2.747316706295,0.314942682357736,8.72322762265164,2.70381982769109e-18,3.43159799797795e-16
"YLR004C",78.0202626436927,3.04875977680226,0.351231826609198,8.68019224292705,3.95100427351509e-18,4.91214653760285e-16
"YHR092C",90.2365999569563,2.60125283156636,0.300170152297434,8.66592768020725,4.47851188200617e-18,5.45661887703632e-16
"YBL048W",143.9760771666,2.78414938311611,0.3217853398382,8.65219461059361,5.05184012268319e-18,6.03447255438941e-16
"YDR089W",99.5881864315011,2.53192540163367,0.294189748579606,8.60643653920027,7.53668428964509e-18,8.8295155177919e-16
"YOR348C",643.090283503764,2.31759132013933,0.270581367087907,8.56522880744552,1.07861442073106e-17,1.23979604737616e-15
"YCR012W",5136.74054333785,2.11831960927191,0.24749403015687,8.55907355797328,1.13778108202529e-17,1.28358562068482e-15
"YLR044C",875.192421682304,2.12708390449216,0.250535804630423,8.49013939396776,2.06389396168601e-17,2.25967607628353e-15
"YPL171C",371.844810219741,-2.48146635302557,0.29230195576829,-8.48939360156949,2.07718089743726e-17,2.25967607628353e-15
"YDR070C",337.526699710767,2.77308225103774,0.326822588993541,8.48497730703843,2.15760834353729e-17,2.30599123312792e-15
"YMR122W-A",188.95512400913,-2.74954585358554,0.324319246665665,-8.47789911284542,2.29296660683069e-17,2.40840561531252e-15
"YOR047C",74.0537071334774,2.72627811238539,0.3217357278568,8.47365671989905,2.37807538580147e-17,2.4554636017462e-15
"YCR013C",2848.62651547573,2.10475861221052,0.250810600589553,8.3918247763974,4.7865394652854e-17,4.85993307041977e-15
"YMR118C",90.0304048294199,2.55831317601826,0.305558994441612,8.37256707397339,5.63764154840899e-17,5.63024792014878e-15
"YOR092W",206.947970840494,2.23910693455228,0.271423064181377,8.24950871918538,1.59047004740361e-16,1.56276508528754e-14
"YHL028W",129.728010573028,2.71933758626775,0.330037358844009,8.23948414746901,1.72954723300777e-16,1.67244472118783e-14
"YGR248W",78.8050225543846,2.53992335461815,0.310286036011807,8.18574818017752,2.70617074674824e-16,2.57593627956098e-14
"YEL071W",243.742920806239,-2.15042115761751,0.263094422253574,-8.17357182717049,2.99390984285631e-16,2.80598442502779e-14
"YLR174W",161.389162962498,-2.8054160706224,0.343911270838788,-8.15738333838284,3.42360477755061e-16,3.16009095527853e-14
"YJR095W",50.8949425162523,-3.72266449716576,0.462317252628089,-8.05218597403386,8.13282013568726e-16,7.39479705471743e-14
"YOR386W",38.8685766779597,4.71102759232775,0.588945342147676,7.99909135056283,1.25340705215459e-15,1.12290525907732e-13
"YEL069C",81.9671809998726,-9.82795447878221,1.23072759622695,-7.98548314745833,1.39972985944129e-15,1.22552021805299e-13
"YIL053W",92.1403015084101,2.7115660069165,0.339593501415311,7.98474056663514,1.40818147182714e-15,1.22552021805299e-13
"YLR257W",472.528508386227,1.77696586624585,0.224087761304563,7.92977651211723,2.19540612720407e-15,1.88372029956721e-13
"YDL223C",529.72124065289,1.96212958698699,0.248991040197192,7.88032206071775,3.26538328242405e-15,2.76287707729546e-13
"YLR303W",446.225015193638,-2.31238825747417,0.294660290856837,-7.84764126428445,4.23934777129754e-15,3.5312558039487e-13
"YNR072W",40.8489736096346,-5.11302505848056,0.651658933395336,-7.84616736831978,4.2894440166153e-15,3.5312558039487e-13
"YPL106C",504.59653317266,-1.89325154162039,0.241809810533405,-7.82950674103788,4.89787732659162e-15,3.97838248981282e-13
"YKR076W",193.216643493051,-2.09658858825814,0.271052315715848,-7.7349960383886,1.03406324205584e-14,8.288833250795e-13
"YOR161C",93.3868059218848,2.53399500135506,0.328246488706099,7.71979316928478,1.16518623815274e-14,9.2185903413331e-13
"YER103W",267.970573504791,-2.44045333962225,0.321183679652211,-7.59831054387589,3.00021678380923e-14,2.34324623679049e-12
"YOL086C",837.406490658443,1.73736756233829,0.22879137855102,7.59367583403437,3.10955741080187e-14,2.39790174007658e-12
"YGR067C",50.0119456851588,-2.93371737485483,0.386454553085508,-7.59136449921889,3.1655408835645e-14,2.41055938283437e-12
"YDR524C-B",1458.70282169394,-1.54985004615487,0.20467748594779,-7.5721569423137,3.67077606301477e-14,2.76078614517111e-12
